customer_id,city,gender,age
customer1,Malard,women,19
customer610,Robatkarim,Men,35
customer225,Fardis,women,21
customer500,Tehran,women,40
customer407,Karaj,women,38
customer4,Malard,women,25
customer472,Tehran,women,31
customer121,Malard,women,36
customer5,Malard,women,21
customer499,Tehran,women,41
customer263,Fardis,women,30
customer6,Malard,women,23
customer8,Malard,women,25
customer9,,Men,18
customer305,Fardis,women,45
customer532,Tehran,women,20
customer10,Malard,women,22
customer520,Tehran,women,56
customer609,AhmadAbadMostofi,women,37
customer262,Fardis,women,29
customer108,Malard,women,42
customer273,Fardis,Men,27
customer250,Fardis,,33
customer11,Malard,women,20
customer332,Fardis,women,49
customer430,Karaj,Men,42
customer36,Malard,Men,30
customer475,Tehran,women,34
customer546,Tehran,Men,46
customer508,Tehran,women,42
customer12,Malard,women,21
customer301,Fardis,women,39
customer523,Tehran,women,47
customer3,Malard,women,20
customer14,Malard,Men,25
customer431,Karaj,Men,41
customer15,Malard,women,24
customer246,Fardis,women,27
customer16,Malard,women,23
customer237,Fardis,women,32
customer17,Malard,Men,25
customer372,Karaj,women,24
customer18,Malard,women,25
customer220,Fardis,women,24
customer357,Karaj,Men,18
customer19,Malard,women,19
customer211,Fardis,women,22
customer20,Malard,women,20
customer521,Tehran,women,49
customer502,Tehran,women,38
customer441,Karaj,women,53
customer172,Malard,women,46
customer23,Malard,women,23
customer459,Tehran,women,22
customer506,Tehran,women,43
customer28,Malard,women,18
customer29,Malard,Men,23
customer595,Shahryar,Men,59
customer507,Tehran,women,40
customer65,Malard,women,26
customer32,Malard,Men,27
customer266,Fardis,women,32
customer34,Malard,Men,27
customer35,Malard,Men,26
customer37,Malard,Men,31
customer383,Karaj,women,29
customer38,Malard,Men,33
customer39,Malard,Men,35
customer374,Karaj,women,29
customer41,Malard,Men,31
customer600,Andishe4,women,26
customer43,Malard,Men,30
customer424,Karaj,women,39
customer44,Malard,Men,31
customer545,Tehran,Men,50
customer45,Malard,Men,32
customer529,Tehran,Men,21
customer256,Fardis,women,30
customer219,Fardis,women,24
customer46,Malard,Men,34
customer309,Fardis,women,41
customer47,Malard,Men,35
customer258,Fardis,women,29
customer48,Malard,Men,34
customer22,Malard,men,22
customer206,Fardis,Men,25
customer49,Malard,Men,33
customer289,Fardis,Men,40
customer50,Malard,women,32
customer536,Tehran,women,80
customer51,Malard,women,31
customer311,Fardis,women,38
customer52,Malard,women,33
customer53,Malard,women,31
customer591,Mashhad,Men,58
customer55,Malard,women,28
customer443,Karaj,women,56
customer56,Malard,women,29
customer328,Fardis,women,51
customer540,Tehran,women,49
customer58,Malard,women,30
customer59,Malard,women,28
customer363,Karaj,women,19
customer485,Tehran,women,32
customer66,Malard,women,35
customer27,Malard,Men,19
customer498,Tehran,women,42
customer68,Malard,women,32
customer248,Fardis,,35
customer69,Malard,women,31
customer365,Karaj,women,21
customer70,Malard,women,30
customer73,Malard,women,33
customer382,Karaj,women,35
customer74,Malard,women,33
customer209,Fardis,women,24
customer76,Malard,women,31
customer255,Fardis,women,30
customer77,Malard,women,31
customer78,Malard,women,33
customer368,Karaj,women,22
customer79,Malard,women,29
customer208,Fardis,Men,23
customer80,Malard,women,28
customer444,Karaj,women,55
customer84,Malard,women,27
customer465,Tehran,women,25
customer85,Malard,women,28
customer482,Tehran,women,26
customer86,Malard,women,29
customer87,Malard,women,33
customer462,Tehran,women,20
customer88,Malard,women,34
customer276,Fardis,Men,31
customer89,Malard,women,31
customer91,Malard,women,35
customer538,Tehran,women,19
customer392,Karaj,women,31
customer433,Karaj,Men,39
customer95,Malard,women,30
customer497,Tehran,women,43
customer488,Tehran,women,27
customer98,Malard,women,28
customer370,Karaj,women,25
customer99,Malard,women,27
customer542,Tehran,women,39
customer102,Malard,women,28
customer526,Tehran,women,60
customer104,Malard,women,45
customer105,Malard,women,43
customer299,Fardis,women,41
customer106,Malard,women,40
customer409,Karaj,women,41
customer107,Malard,women,41
customer111,Malard,women,36
customer607,zanjan,women,33
customer395,Karaj,women,34
customer112,Malard,women,39
customer403,Karaj,Men,28
customer113,Malard,women,30
customer241,Fardis,women,35
customer115,Malard,women,42
customer226,Fardis,women,26
customer117,Malard,women,44
customer118,Malard,women,43
customer586,Sarasiab,women,31
customer122,Malard,women,36
customer123,Malard,women,37
customer124,Sarasiab,women,15
customer125,Malard,women,39
customer126,Malard,women,40
customer537,Tehran,women,18
customer127,Malard,women,41
customer336,Fardis,women,53
customer131,Malard,women,45
customer133,Malard,women,38
customer483,Tehran,women,34
customer134,Malard,women,37
customer135,Malard,women,39
customer604,EslamShahr,Men,28
customer136,Malard,women,40
customer344,Fardis,women,52
customer138,Malard,women,42
customer345,Fardis,women,51
customer139,Malard,women,42
customer525,Tehran,women,61
customer140,Malard,women,44
customer141,Malard,women,43
customer582,Tabriz,women,18
customer143,Malard,Men,45
customer144,Malard,Men,45
customer599,Safadasht,women,33
customer145,Malard,Men,44
customer146,Malard,Men,45
customer147,Malard,Men,41
customer425,Karaj,women,38
customer149,Malard,Men,43
customer366,Karaj,women,23
customer150,Malard,Men,40
customer152,Malard,Men,39
customer410,Karaj,women,44
customer154,Malard,Men,37
customer155,Malard,Men,36
customer300,Fardis,women,40
customer156,Malard,Men,36
customer185,Malard,Men,75
customer159,Malard,Men,45
customer283,Fardis,Men,42
customer2,Malard,women,25
customer161,Malard,women,48
customer214,Fardis,women,20
customer162,Malard,women,49
customer163,Malard,women,50
customer217,Fardis,women,22
customer602,Andishe3,women,45
customer164,Malard,women,50
customer165,Malard,women,51
customer557,Neyshaboor,women,24
customer563,Rasht,women,19
customer333,Fardis,women,48
customer166,Malard,women,58
customer167,Malard,women,59
customer558,Andishe1,women,20
customer81,Malard,women,27
customer330,Fardis,women,53
customer169,Malard,women,52
customer551,Tehran,women,38
customer170,Malard,women,48
customer171,Malard,women,46
customer528,Tehran,Men,19
customer173,Malard,women,47
customer342,Fardis,women,55
customer343,Fardis,women,54
customer176,Malard,women,50
customer177,Malard,women,51
customer179,Malard,women,53
customer180,Malard,women,55
customer181,,women,56
customer182,Malard,women,58
customer230,Fardis,women,30
customer183,Malard,women,56
customer287,Fardis,Men,39
customer184,Malard,Men,57
customer559,Zahedan,women,26
customer320,Fardis,women,39
customer186,Malard,Men,51
customer239,Fardis,women,31
customer187,Malard,Men,52
customer190,Malard,women,60
customer590,Safadasht,Men,51
customer191,Malard,women,62
customer243,Fardis,women,29
customer192,Malard,women,61
customer419,Karaj,women,42
customer461,Tehran,women,20
customer194,Malard,Men,65
customer196,Malard,women,62
customer347,Fardis,Men,47
customer197,Malard,women,68
customer568,Hashtgerd,women,31
customer199,Malard,women,69
customer200,Malard,women,66
customer606,Andishe1,Men,38
customer201,Malard,women,63
customer202,Malard,women,59
customer203,Fardis,Men,18
customer204,Fardis,Men,18
customer25,Malard,women,24
customer452,Karaj,Men,65
customer207,Fardis,Men,23
customer360,Karaj,Men,23
customer337,Fardis,women,57
customer517,Tehran,women,52
customer210,Fardis,women,24
,,,
customer212,Sarasiab,women,21
customer213,Fardis,women,20
customer505,Tehran,women,41
customer215,Fardis,women,20
customer148,Malard,Men,42
customer216,Fardis,women,23
customer414,Karaj,women,38
customer64,Malard,women,34
customer354,Fardis,women,65
customer509,Tehran,women,39
customer222,Fardis,women,23
customer223,Fardis,women,22
customer556,Orumieh,Men,23
customer224,Fardis,women,22
customer227,Fardis,women,28
customer72,Malard,women,30
customer229,Fardis,women,26
customer454,Karaj,women,61
customer231,Fardis,women,30
customer100,Malard,women,26
customer233,Fardis,women,33
customer234,Fardis,women,33
customer571,Robatkarim,women,29
customer235,Fardis,women,34
customer238,Fardis,women,32
customer385,Karaj,women,26
customer240,Fardis,women,31
customer242,Fardis,women,30
customer92,Malard,women,34
customer244,Fardis,women,28
customer245,Fardis,women,28
customer21,Malard,women,18
customer247,Fardis,women,26
customer553,Tabriz,Men,19
customer249,Fardis,women,35
customer552,Tehran,women,27
customer251,Fardis,women,31
customer109,Malard,women,38
customer252,Fardis,women,31
customer120,Malard,women,45
customer253,Fardis,women,32
customer587,Shahryar,women,34
customer254,Fardis,women,32
customer42,Malard,Men,30
customer103,Malard,women,44
customer257,Fardis,,29
customer33,Malard,Men,28
customer259,Fardis,women,28
customer264,Fardis,women,31
customer534,Tehran,women,22
customer388,Karaj,women,29
customer503,Tehran,women,39
customer267,Fardis,women,31
customer268,Fardis,women,30
customer82,Malard,women,29
customer270,Fardis,Men,35
customer364,Karaj,women,20
customer271,Fardis,Men,29
customer597,Andishe4,women,35
customer272,Fardis,Men,26
customer274,Fardis,Men,30
customer63,Malard,women,32
customer275,Fardis,Men,30
customer67,Malard,women,33
customer278,Fardis,Men,33
customer279,Fardis,Men,35
customer418,Karaj,women,44
customer280,Fardis,Men,44
customer281,Fardis,Men,45
customer396,Karaj,Men,34
customer282,Fardis,Men,41
customer284,Fardis,Men,36
customer160,Malard,women,48
customer522,Tehran,women,48
customer285,Fardis,Men,37
customer286,Fardis,Men,38
customer603,EslamShahr,women,44
customer288,Fardis,Men,39
customer290,Fardis,Men,41
customer576,Andishe2,Men,33
customer292,Fardis,Men,38
customer486,Tehran,women,28
customer293,Fardis,women,36
customer294,Fardis,women,39
customer588,Andishe2,women,49
customer296,Fardis,women,45
customer547,Tehran,women,49
customer297,Fardis,women,43
customer188,Malard,Men,50
customer298,Fardis,women,42
customer437,Karaj,Men,48
customer304,Fardis,women,44
customer306,Fardis,women,36
customer589,Shiraz,women,48
customer307,Fardis,women,37
customer308,Fardis,women,39
customer428,Karaj,Men,44
customer310,Fardis,women,42
customer493,Tehran,women,38
customer312,Fardis,women,36
customer312,Fardis,women,45
customer314,Fardis,women,44
customer315,Sarasiab,women,42
customer316,Fardis,women,41
customer317,Fardis,women,39
customer450,Karaj,women,53
customer318,Fardis,women,37
customer490,Tehran,women,31
customer319,Fardis,women,38
customer321,Fardis,women,41
customer427,Karaj,women,45
customer322,Fardis,women,40
customer324,Fardis,women,45
customer562,Rasht,women,20
customer325,Fardis,women,48
customer101,Malard,women,29
customer327,Fardis,women,52
customer329,Fardis,women,50
customer515,Tehran,Men,55
customer331,Fardis,women,46
customer334,Fardis,women,58
customer481,Tehran,women,26
customer335,Fardis,women,55
customer198,Malard,women,64
customer338,Fardis,women,59
customer339,Fardis,women,60
customer75,Malard,women,32
customer340,Fardis,women,53
customer341,Fardis,women,51
customer40,Malard,Men,32
customer110,Malard,women,37
customer399,Karaj,Men,29
customer346,Fardis,Men,49
customer348,Fardis,Men,52
customer349,Damavand,Men,51
customer350,Fardis,Men,48
customer351,Fardis,women,47
customer598,zanjan,women,39
customer352,Fardis,women,59
customer353,Fardis,women,63
customer137,Malard,women,41
customer355,Fardis,women,60
customer356,Fardis,Men,67
customer359,Karaj,Men,22
customer158,Malard,Men,38
customer361,Karaj,women,25
customer583,Esfahan,Men,35
customer362,Karaj,women,25
customer369,Karaj,women,25
customer228,Fardis,women,29
customer371,Karaj,women,23
customer605,Andishe4,Men,29
customer373,Karaj,women,26
customer527,Tehran,Men,18
customer376,Karaj,women,32
customer377,,women,30
customer378,Karaj,women,31
customer379,Karaj,women,31
customer575,AhmadAbadMostofi,Men,27
customer265,Fardis,women,33
customer380,Karaj,women,32
customer381,Karaj,women,33
customer573,Eshtehard,women,36
customer384,Karaj,women,27
customer548,Tehran,women,52
customer386,Karaj,women,28
customer260,Fardis,women,27
customer387,Karaj,women,26
customer97,Malard,women,29
customer114,Malard,women,30
customer390,Karaj,women,33
customer580,Sarasiab,women,50
customer391,Karaj,women,32
customer581,Andimeshk,women,19
customer393,Karaj,women,30
customer394,Karaj,women,35
customer579,Robatkarim,women,49
customer397,Karaj,Men,32
customer261,Fardis,women,26
customer400,Karaj,Men,28
customer592,Qazvin,women,55
customer401,Karaj,Men,27
customer128,Malard,women,42
customer402,Karaj,Men,26
customer565,zanjan,women,28
customer406,Karaj,women,39
customer574,Eshtehard,women,25
customer408,Karaj,women,42
customer596,Andishe5,women,53
customer96,Malard,women,34
customer411,Karaj,women,43
customer412,Karaj,women,45
customer61,Malard,women,27
customer413,Karaj,women,39
customer479,Tehran,women,29
customer415,Karaj,women,37
customer608,Andishe5,women,31
customer416,Karaj,women,39
customer417,Karaj,women,40
customer24,Malard,women,25
customer420,Karaj,women,45
customer593,Andishe1,women,56
customer421,Karaj,women,46
customer561,Andishe1,women,21
customer422,Karaj,women,45
customer153,Malard,Men,38
customer423,Karaj,women,49
customer567,LomAbad,women,30
customer429,Karaj,Men,42
customer218,Fardis,women,25
customer432,Karaj,Men,40
customer60,Malard,women,26
customer434,Karaj,Men,38
customer7,Malard,women,21
customer295,Fardis,women,41
customer435,Karaj,Men,44
customer436,Karaj,Men,49
