sale_id,sale_date,customer_id,product_id,quantity,unit_price,discount_percent,platform,city
S00001,2026-01-04,customer47,P005,5,264000.0,0,Rubika,Malard
S00001,2026-01-04,customer47,P029,5,584000.0,0,Rubika,Malard
S00001,2026-01-04,customer47,P083,2,246000.0,0,Rubika,Malard
S00001,2026-01-04,customer47,P136,1,80000.0,0,Rubika,Malard
S00001,2026-01-04,customer47,P109,5,647700.0,15,Rubika,Malard
S00002,2025-09-15,customer236,P085,5,431000.0,0,Telegram,Fardis
S00002,2025-09-15,customer236,P112,1,88200.0,10,Telegram,Fardis
S00002,2025-09-15,customer236,P125,4,211000.0,0,Telegram,Fardis
S00002,2025-09-15,customer236,P036,3,489000.0,0,Telegram,Fardis
S00003,2025-07-02,customer283,P012,4,243200.0,5,Rubika,Fardis
S00003,2025-07-02,customer283,P131,2,692100.0,10,Rubika,Fardis
S00004,2025-08-31,customer138,P110,3,362700.0,10,Rubika,Malard
S00004,2025-08-31,customer138,P135,4,43200.0,10,Rubika,Malard
S00004,2025-08-31,customer138,P028,3,499700.0,5,Rubika,Malard
S00004,2025-08-31,customer138,P051,1,909000.0,0,Rubika,Malard
S00004,2025-08-31,customer138,P005,4,239000.0,0,Rubika,Malard
S00005,2025-12-06,customer31,P092,5,672000.0,20,Rubika,Malard
S00006,2025-09-18,customer142,P045,5,623000.0,0,Eita,Malard
S00006,2025-09-18,customer142,P059,3,365000.0,0,Eita,Malard
S00006,2025-09-18,customer142,P132,5,760000.0,0,Eita,Malard
S00007,2026-02-02,customer455,P109,2,724000.0,0,Rubika,Karaj
S00007,2026-02-02,customer455,P047,2,913000.0,0,Rubika,Karaj
S00008,2025-05-04,customer106,P129,5,143000.0,0,Eita,Malard
S00008,2025-05-04,customer106,P017,5,285600.0,15,Eita,Malard
S00009,2025-11-29,customer38,P124,3,1514000.0,0,Rubika,Malard
S00009,2025-11-29,customer38,P130,1,347700.0,5,Rubika,Malard
S00009,2025-11-29,customer38,P057,3,548000.0,0,Rubika,Malard
S00010,2026-03-10,customer543,P089,5,684000.0,0,Eita,Tehran
S00010,2026-03-10,customer543,P031,3,748850.0,15,Eita,Tehran
S00010,2026-03-10,customer543,P020,1,389000.0,0,Eita,Tehran
S00010,2026-03-10,customer543,P130,5,364000.0,0,Eita,Tehran
S00011,2026-01-19,customer500,P098,5,251000.0,0,Telegram,Tehran
S00011,2026-01-19,customer500,P106,4,581000.0,0,Telegram,Tehran
S00011,2026-01-19,customer500,P085,2,484000.0,0,Telegram,Tehran
S00012,2025-04-25,customer493,P071,1,2024000.0,0,Eita,Tehran
S00012,2025-04-25,customer493,P066,3,381000.0,0,Eita,Tehran
S00012,2025-04-25,customer493,P070,3,3181000.0,0,Eita,Tehran
S00012,2025-04-25,customer493,P041,4,296000.0,0,Eita,Tehran
S00013,2025-09-14,customer429,P029,3,516600.0,10,Rubika,Karaj
S00013,2025-09-14,customer429,P060,5,222300.0,10,Rubika,Karaj
S00013,2025-09-14,customer429,P095,3,122000.0,0,Rubika,Karaj
S00013,2025-09-14,customer429,P042,1,3870900.0,10,Rubika,Karaj
S00013,2025-09-14,customer429,P043,2,403200.0,10,Rubika,Karaj
S00014,2025-08-28,customer317,P138,4,199000.0,0,Telegram,Fardis
S00014,2025-08-28,customer317,P121,1,411000.0,0,Telegram,Fardis
S00015,2025-04-24,customer590,P122,2,862600.0,5,Telegram,Safadasht
S00015,2025-04-24,customer590,P105,4,548000.0,0,Telegram,Safadasht
S00015,2025-04-24,customer590,P074,3,1996200.0,10,Telegram,Safadasht
S00015,2025-04-24,customer590,P132,5,705000.0,0,Telegram,Safadasht
S00015,2025-04-24,customer590,P099,4,79200.0,20,Telegram,Safadasht
S00016,2025-12-28,customer411,P127,1,237000.0,0,Rubika,Karaj
S00017,2025-04-24,customer489,P077,3,2528900.0,5,Rubika,Tehran
S00017,2025-04-24,customer489,P076,2,2155600.0,15,Rubika,Tehran
S00018,2025-04-17,customer456,P008,1,230000.0,0,Telegram,Tehran
S00018,2025-04-17,customer456,P128,1,351900.0,10,Telegram,Tehran
S00018,2025-04-17,customer456,P117,2,1062000.0,0,Telegram,Tehran
S00019,2025-07-24,customer428,P091,5,561000.0,15,Rubika,Karaj
S00019,2025-07-24,customer428,P079,1,147250.0,5,Rubika,Karaj
S00020,2025-10-25,customer257,P075,2,1974000.0,0,Telegram,Fardis
S00020,2025-10-25,customer257,P125,3,182400.0,5,Telegram,Fardis
S00020,2025-10-25,customer257,P047,3,817000.0,0,Telegram,Fardis
